AOU 	FourLetter
6560	YRWA_A
1740	BRAN_B
1691	SNGO_B
5690	DEJU_H
3380	RTHA_H
1331	MALL_M
6550	MYWA
5671	DEJU_O
5680	DEJU_P
4130	NOFL_R
5670	DEJU_S
6556	YRWA
5677	DEJU
4123	NA
5660	NA
4120	NA
5920	ABTO
4650	ACFL
4070	ACWO
3152	RTDO
10150	AGHE
4661	ALFL
730	ALTE
4340	ALHU
5031	ALOR
17580	ALYE
13530	AMKI
2250	AMAV
1900	AMBI
1330	ABDU
2210	AMCO
4880	AMCR
7010	AMDI
1820	AMFL
2720	AMGP
5290	AMGO
3600	AMKE
2860	AMOY
6970	AMPI
6870	AMRE
7610	AMRO
4010	ATTW
5590	ATSP
1250	AWPE
1370	AMWI
2280	AMWO
13030	ATHU
210	ANMU
1180	ANHI
4310	ANHU
4201	ANNI
3590	APFA
90	ARLO
710	ARTE
7470	ARWA
3975	ARWO
4540	ATFL
1080	ASSP
130	ATPU
5030	AUOR
2081	AZRA
7631	AZTH
12850	AZCH
16300	AHJA
5750	BACS
7031	BAMO
2410	BASA
5450	BAIS
3520	BAEA
5070	BAOR
16420	BABW
3120	BTPI
10770	BAQU
6160	BANS
2500	BTGO
10130	BTTH
3650	BANO
6130	BARS
14510	BAAN
10500	BAFF
3680	BADO
11390	BAPA
1520	BAGO
10530	BAFA
6600	BBWA
10650	BEWP
6820	BEYE
5739	BESP
6330	BEVI
3900	BEKI
7080	BETH
4381	BEHU
7190	BEWR
7571	BITH
10300	BIHA
270	BLGU
10450	BLHE
791	BLNO
2870	BLOY
4580	BLPH
2160	BLRA
5250	BLRF
1630	BLSC
800	BLSK
1070	BLSP
4220	BLSW
770	BLTE
16960	BLTH
2840	BLTU
3260	BLVU
10440	BAWH
11970	BLWO
6360	BAWW
19341	BBOR
4000	BBWO
2700	BBPL
1770	BBWD
3880	BBCU
4750	BBMA
7350	BCCH
7531	BCGN
6300	BCVI
19040	BCHS
4290	BCHU
5650	BCSP
10400	BCHA
7320	BCTI
2020	BCNH
15900	BCRT
5960	BHGR
551	BHGU
16930	BHNT
18550	BHSA
19440	BHSI
400	BLKI
2260	BNST
7520	BTGN
6540	BTBW
6650	BTYW
6670	BTNW
16230	BTMJ
5730	BTSP
5041	BVOR
930	BVSH
6230	BWVI
